Code_Pays,Pays,Annee,Credit_Secteur_Prive_pct_PIB,Croissance_PIB_pct,Inflation_pct,PIB_USD,Reserves_Change_USD,Solde_Courant_pct_PIB
CMR,Cameroun,1993,8.04895695623619,-7.93206657447536,-3.20655456915868,16181814712.5295,14152080.7963374,-3.16558988216276
CMR,Cameroun,1994,7.47640961197704,1.87680922580404,35.0944618459464,8902446252.18372,13740919.6525948,-0.629820264292087
CMR,Cameroun,1995,6.84825406635548,2.89400137739698,9.06969071921509,10864772470.9043,15372103.2588021,0.827012560749538
CMR,Cameroun,1996,6.79991155329721,4.21507214953058,3.92406372749798,11093538846.4483,13833208.9058915,-2.58405802001496
CMR,Cameroun,1997,5.52816678239915,4.52731376625037,4.78623881860376,10789458432.6416,9555390.85371143,-5.39597096870369
CMR,Cameroun,1998,6.43348529599776,4.72553484802563,3.17075185386907,11298144990.4104,9911701.41281912,-1.33456243682874
CMR,Cameroun,1999,6.76359969387726,4.51130422140731,1.87174500672008,11565826464.8921,13121977.8772397,-4.40566906646215
CMR,Cameroun,2000,7.24834770978704,3.83241779430614,1.22719012976132,10566579294.9831,220219413.043293,-2.0668977639693
CMR,Cameroun,2001,7.84074915902624,4.32426119221549,4.41977245881146,10953485349.1135,340115355.120412,-3.17394469214094
CMR,Cameroun,2002,8.06333960214488,4.47702683369155,2.83442260128067,12417251350.4882,639930327.323177,-3.53790565581226
CMR,Cameroun,2003,8.23854970959904,5.45315368881347,0.623163557374316,15970315034.9903,652135227.569221,-3.74372948027079
CMR,Cameroun,2004,7.79541952361572,7.04886281858374,0.233647380067584,18826214135.6419,842430190.035234,-2.21065060210036
CMR,Cameroun,2005,8.40286242580155,2.22827020924117,2.01353950175986,19509852206.9341,964745492.908923,-2.54005821725892
CMR,Cameroun,2006,8.12353298418805,3.80958327566137,5.11757816019469,20910512974.933,1735263262.18996,0.925460105397852
CMR,Cameroun,2007,8.28508670414223,4.32758900972871,0.921402245650095,23928250433.0378,2931745509.79895,1.19555212022134
CMR,Cameroun,2008,9.23971527903247,2.8476778892105,5.33780627627498,27715142032.913,3112861315.14642,-1.62929165447175
CMR,Cameroun,2009,9.64395738517045,2.57925177738754,3.04361847939999,27932970317.129,3675521655.97273,-4.02097111334699
CMR,Cameroun,2010,10.7779374242217,2.89902472122014,1.27538046242338,27507501821.0296,3642642765.84442,-3.11602303510797
CMR,Cameroun,2011,12.3263650704915,3.37921128506045,2.93969946305091,30630910495.217,3198717752.7485,-2.44588511307823
CMR,Cameroun,2012,12.4120200108143,4.62597872209571,2.73529677529539,30155062329.2821,3380703262.12093,-3.17006037197893
CMR,Cameroun,2013,12.9611374928781,4.99552916130783,2.05034718001741,33728621180.3231,3471999831.39101,-3.3445999054782
CMR,Cameroun,2014,13.7278364272632,5.71981814509198,1.85489850366777,36386544706.0806,3168216856.18041,-3.85300319903712
CMR,Cameroun,2015,14.1903930856487,5.66695298703932,2.676235314199,32210233020.4569,3536255065.98645,-3.64384590025676
CMR,Cameroun,2016,14.3706640485152,4.53579423678801,0.874190383288856,33814337044.3765,2225708778.07818,-3.06806029650276
CMR,Cameroun,2017,14.0633461453046,3.54117654926007,0.64040914988195,36098547033.1655,3196791410.74604,-2.63102845264373
CMR,Cameroun,2018,14.6820776289898,3.95551423892049,1.0688581131292,39955552189.795,3459329760.96426,-3.52725517847682
CMR,Cameroun,2019,14.0910928751244,3.47505998194981,2.45280214062732,39667757527.6578,3720172167.11585,-4.27316997253143
CMR,Cameroun,2020,,0.259932915907115,2.43760882182236,40773241177.0505,3961753887.41141,-3.70931267651989
CMR,Cameroun,2021,,3.33885747179505,2.27185762503637,45011937346.8384,4299788713.29081,-3.98670897608132
CMR,Cameroun,2022,,3.7367840056412,6.24767713343861,44347206072.5513,5133480338.41129,-3.39397488391441
CMR,Cameroun,2023,,3.34756290750219,7.38281384280984,48814501547.4313,4882047276.67739,-4.13580101370033
CMR,Cameroun,2024,,3.52472308052245,4.53331349711606,53296694320.2057,5061511549.89538,-3.28354247246706
CMR,Cameroun,2025,,3.20000015616144,3.40373458279055,58933453923.761,,
COG,Congo,1975,17.1739659367397,7.73159683364941,,767102680.239967,13814488.4353576,
COG,Congo,1976,19.8713255684969,0.916286751103684,,754549601.391492,12168224.1096617,
COG,Congo,1977,20.706914893617,-8.95342798038182,,765224029.286556,14453694.4362124,
COG,Congo,1978,19.8794755421079,6.3597470112115,,878771772.202149,11350150.538258,-20.5516893382486
COG,Congo,1979,17.8772549019608,9.81322473809402,,1198749667.42923,48069339.8625597,-8.2882352838947
COG,Congo,1980,15.5371809100305,17.6366054827611,,1705796852.89473,92619325.6866554,-9.76997778326499
COG,Congo,1981,17.390068303489,17.6197224701567,,1993512322.62391,127900257.410641,-23.1101971972452
COG,Congo,1982,18.4723943660563,23.5976999601492,,2160640564.56041,42223139.3938074,-15.3447405639315
COG,Congo,1983,19.0128878878879,5.85396283993704,,2097274289.75066,11709254.94424,-19.1156156143802
COG,Congo,1984,18.8373500260824,6.9761310544814,,2193581365.34299,7535939.86281927,9.58226395874383
COG,Congo,1985,20.7297074577668,-1.18566085432533,,2160872540.03175,7593095.0256717,-7.46302019432509
COG,Congo,1986,31.6795815197236,-6.86152643665193,4.15811088295678,1849268212.30284,11157540.6695685,-32.4832378211718
COG,Congo,1987,27.067057934427,0.189376640368906,0.443568260226844,2297753652.34929,8771600.58846965,-9.69133907709575
COG,Congo,1988,16.2403641881639,1.76626342847234,1.0304219823355,2212536311.99319,9257971.40363466,-20.1330804370954
COG,Congo,1989,14.7339628829892,2.59987651814491,-1.79698882952885,2389593025.60339,10552482.301093,-3.55503079247413
COG,Congo,1990,15.6922572178478,1.00000356627487,2.88905374216947,2798746050.11354,10192493.1610329,-8.97637795425953
COG,Congo,1991,15.9967477559516,2.39536745255616,-1.67834968956537,2724853505.80336,8694635.00650789,-16.9376870155112
